id2,name,description,manufacturer,price
http://www.google.com/base/feeds/snippets/17707372056830171464,"[174609, 2642, 91506, 531534, 18, 5966, 64, 6132, 147]","[174609, 531534, 18, 5966, 64, 6132, 147, 3875, 204, 5, 35, 753, 10, 337, 488, 8033, 30602, 3712, 1352, 6443, 64771, 4, 159, 7059, 1234, 112, 35, 45853, 51, 45885, 101, 98, 252084, 254, 1660, 10, 12016, 2505]",[122666],17.55
http://www.google.com/base/feeds/snippets/11566517168666295757,"[252467, 1766334, 104, 3831, 11414, 337, 1128, 543]","[1766334, 104, 3831, 11414, 17, 1972, 3055, 4, 27698, 26901, 337, 1128, 543, 17, 8702, 18198, 360, 4, 1964, 13818, 1766334, 104, 3831, 11414, 543, 30, 252467, 11, 40, 16430, 337, 1128, 900, 16, 11412, 1796, 34]",[122666],249.99
http://www.google.com/base/feeds/snippets/13155989034725556447,"[0, 15, 27207, 14, 680, 6194, 399]","[1187, 1926, 4, 2402, 35, 6194, 20, 0, 15, 27207, 14, 680, 6194, 338591, 52, 1023, 11, 44, 19, 420492, 52, 871, 11, 44, 22, 801, 37, 3, 543, 90, 10480, 4, 10220, 3986, 0, 22, 760, 4367, 6, 0, 20616, 4, 32091, 0]",[122666],69.99
http://www.google.com/base/feeds/snippets/8959665711528999366,"[29719, 543, 567571, 5, 0, 311820, 74710, 0, 84359, 17, 0]",[122666],[122666],186518
http://www.google.com/base/feeds/snippets/11404711258824251475,"[8755, 330, 752, 17, 3, 5065, 15, 6194, 66, 8702, 14, 0]","[177, 7, 3095, 215, 26, 3, 13106, 4, 215890, 55, 59, 34521, 4, 31241, 624, 6, 214, 3, 2096, 4, 1802, 56733, 114402, 3, 12053, 1153, 54628, 4, 3, 5065, 279, 62599, 80938, 27551, 4, 7996, 55, 537, 34]",[122666],9.99
http://www.google.com/base/feeds/snippets/17298617365180292947,"[3, 407767, 263]","[6574, 3, 1731, 1433, 263, 6206, 2002, 6, 24935, 595, 1098, 279, 11861, 1376, 19253, 937, 1320, 9925, 4, 60, 139, 114793, 85824, 35, 13095, 20, 7, 1049, 3827, 6, 2512, 428, 2153, 65, 4195, 6370, 4, 34]",[122666],19.9
http://www.google.com/base/feeds/snippets/550226741008385683,"[477143, 5653, 2290, 4174, 12, 6194]","[477143, 3086, 2290, 4174, 624, 1015, 20127, 4174, 790, 20, 4, 318, 945, 1714, 30, 3, 307, 4483, 93519, 987153, 1377, 42, 1351, 59, 866, 1290, 5, 1344, 318, 33, 50, 42, 177, 18, 3, 21854, 6, 65821, 34]",[122666],19.99
http://www.google.com/base/feeds/snippets/17655210833340990264,"[52072, 0, 85773, 96870, 7114, 1414, 1655, 897, 2454, 17, 703, 5, 331, 1655, 2715, 37]","[382, 52, 6, 2454, 21, 1233, 13391, 283, 19, 3, 18396, 6, 789, 2512, 1655, 2715, 37, 52072, 2802, 8915, 136224, 106257, 1262, 5913, 11954, 1655, 28527, 2666, 4, 51, 44, 8, 159, 2412, 12, 3, 1414, 1655, 0, 34]",[122666],11.23
http://www.google.com/base/feeds/snippets/13244128246939273298,"[2181870, 0, 5085, 5633, 17, 15, 2903, 30184, 14, 17, 3979, 2878, 17, 67, 888, 17, 814]","[712098, 543, 2181870, 10, 822, 4353, 8, 419, 420, 10, 10, 0, 6155, 37660, 543, 715, 3, 23202, 899, 624, 35, 221, 448, 5, 1926, 4689, 1913, 336, 279, 64553, 4, 35919, 13356, 4, 162576, 4, 121683, 12, 2456, 34]",[122666],146.42
http://www.google.com/base/feeds/snippets/18379738342836421250,"[80580, 48748, 56115, 2456, 3469, 18198, 2109, 66, 112195, 57406, 26539, 17, 0]",[122666],[122666],9534
http://www.google.com/base/feeds/snippets/13749047006070540730,"[0, 9123, 66, 7059, 15, 814, 1028, 13818, 13204, 14]","[8111, 37, 0, 9123, 66, 7059, 11, 7, 95, 9036, 428, 409, 20, 3, 390, 6, 10661, 4415, 3932, 0, 20, 22, 21, 365, 6, 3, 717, 9123, 66, 7059, 6141, 9267, 888, 2692, 16, 20753, 95302, 236, 9123, 64, 7059, 4, 0, 38, 786, 16, 3386, 29, 19, 34]",[122666],99.95
